,EC_number,bigg.metabolite,KI_Value,growth condition,concentration,saturation,met:EC
328,2.7.1.170,adp,0.4,Gluconate,0.8482,0.679538535491,adp:2.7.1.170
329,2.7.1.56,adp,0.28,Gluconate,0.8482,0.751817053714,adp:2.7.1.56
330,2.7.11.5,adp,0.45,Gluconate,0.8482,0.653366199353,adp:2.7.11.5
331,2.7.2.11,adp,0.06,Gluconate,0.8482,0.933935256551,adp:2.7.2.11
332,2.7.4.1,adp,0.09,Gluconate,0.8482,0.904071626519,adp:2.7.4.1
333,2.7.6.1,adp,0.334,Gluconate,0.8482,0.717475892404,adp:2.7.6.1
334,3.1.3.31,adp,0.0013,Gluconate,0.8482,0.998469688052,adp:3.1.3.31
335,1.1.1.169,amp,6.3,Gluconate,0.6703,0.0961651578842,amp:1.1.1.169
336,1.1.1.94,amp,5.0,Gluconate,0.6703,0.118212440259,amp:1.1.1.94
337,1.6.1.2,amp,3.4,Gluconate,0.6703,0.164680736064,amp:1.6.1.2
338,1.6.5.11,amp,0.5,Gluconate,0.6703,0.572759121593,amp:1.6.5.11
339,2.7.11.5,amp,0.008,Gluconate,0.6703,0.988205808639,amp:2.7.11.5
340,2.7.7.27,amp,0.007,Gluconate,0.6703,0.989664845711,amp:2.7.7.27
341,2.7.9.3,amp,0.17,Gluconate,0.6703,0.797691300726,amp:2.7.9.3
342,3.1.3.11,amp,0.00062,Gluconate,0.6703,0.999075895785,amp:3.1.3.11
343,3.1.3.5,amp,23.0,Gluconate,0.6703,0.0283181877712,amp:3.1.3.5
344,6.1.1.1,amp,0.35,Gluconate,0.6703,0.656963638146,amp:6.1.1.1
345,1.1.1.169,atp,0.61,Gluconate,4.6411,0.883833863381,atp:1.1.1.169
346,1.6.5.11,atp,9.0,Gluconate,4.6411,0.340229160405,atp:1.6.5.11
347,2.7.2.8,atp,30.4,Gluconate,4.6411,0.13244732614,atp:2.7.2.8
348,3.1.3.31,atp,0.0017,Gluconate,4.6411,0.999633841647,atp:3.1.3.31
349,3.1.3.41,atp,0.5,Gluconate,4.6411,0.902744548832,atp:3.1.3.41
350,3.1.3.5,atp,24.1,Gluconate,4.6411,0.161479553671,atp:3.1.3.5
351,3.1.3.6,atp,24.1,Gluconate,4.6411,0.161479553671,atp:3.1.3.6
352,3.6.1.11,atp,24.1,Gluconate,4.6411,0.161479553671,atp:3.6.1.11
353,3.6.3.16,atp,0.792,Gluconate,4.6411,0.854226868639,atp:3.6.3.16
354,6.3.4.14,atp,27.0,Gluconate,4.6411,0.146679477009,atp:6.3.4.14
355,1.1.1.42,pep,0.31,Gluconate,0.6947,0.691450184135,pep:1.1.1.42
356,2.7.11.5,pep,0.55,Gluconate,0.6947,0.558126456174,pep:2.7.11.5
357,4.1.3.1,pep,0.893,Gluconate,0.6947,0.437551174655,pep:4.1.3.1
358,1.1.1.49,nadph,0.01,Gluconate,0.2372,0.959546925566,nadph:1.1.1.49
359,1.1.1.86,nadph,0.0012,Gluconate,0.2372,0.994966442953,nadph:1.1.1.86
